News Name,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
mybroadband.co.za,165,165,165,165,165,149,149,95,76,165,165,165,165,165,165,165,165,165,165,165,148,148,148,33,148,148,148,165,164,164,164,37,164,164,164,165,165,165,165,165,165
www.thenassauguardian.com,163,163,163,163,163,149,149,68,92,163,163,163,163,163,163,163,163,163,163,163,148,149,149,79,148,148,149,163,162,163,163,87,162,162,163,163,163,163,163,163,163
www.wsj.com,162,162,162,162,162,150,150,77,93,162,162,162,162,162,162,162,162,162,162,162,147,147,147,44,147,147,147,162,159,159,159,43,159,159,159,162,162,162,162,162,162
www.yahoo.com,161,161,161,161,161,149,149,99,72,161,161,161,161,161,161,161,161,161,161,161,146,146,146,40,146,146,146,161,156,156,156,42,156,156,156,161,161,161,161,161,161
www.smh.com.au,159,159,159,159,159,141,141,78,82,159,159,159,159,159,159,159,159,159,159,159,140,140,140,51,140,140,140,159,158,158,158,55,158,158,158,159,159,159,159,159,159
www.iol.co.za,155,155,155,155,155,147,147,86,79,155,155,155,155,155,155,155,155,155,155,155,145,145,145,61,145,145,145,155,153,153,153,58,153,153,153,155,155,155,155,155,155
www.gizmodo.com.au,152,152,152,152,152,142,142,68,90,152,152,152,152,152,152,152,152,152,152,152,139,139,139,39,139,139,139,152,149,149,149,48,149,149,149,152,152,152,152,152,152
www.cbc.ca,150,150,150,150,150,136,136,70,83,150,150,150,150,150,150,150,150,150,150,150,131,131,131,63,131,131,131,150,145,145,145,65,145,145,145,150,150,150,150,150,150
bahamaspress.com,150,150,150,150,150,135,135,72,75,150,150,150,150,150,150,150,150,150,150,150,135,135,135,72,135,135,135,150,150,150,150,77,150,150,150,150,150,150,150,150,150
www.thetimes.co.uk,149,149,149,149,149,138,138,80,73,149,149,149,149,149,149,149,149,149,149,149,136,136,136,35,136,136,136,149,147,147,147,40,147,147,147,149,149,149,149,149,149
www.zdnet.com,147,147,147,147,147,133,133,86,59,147,147,147,147,147,147,147,147,147,147,147,127,127,127,49,127,127,127,147,141,141,141,57,141,141,141,147,147,147,147,147,147
www.sfgate.com,146,146,146,146,146,134,134,74,78,146,146,146,146,146,146,146,146,146,146,146,134,134,134,55,134,134,134,146,146,146,146,61,146,146,146,146,146,146,146,146,146
www.prnewswire.com:443,146,146,146,146,146,133,133,85,67,146,146,146,146,146,146,146,146,146,146,146,132,132,132,44,132,132,132,146,143,143,143,39,143,143,143,146,146,146,146,146,146
