,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
87,532352907,20160420,201604,2016,2016.3014,GOV,REGULATOR,,GOV,1,42,42,4,1,1.9,3,1,3,1.07719928186715,4,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,4,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,20160420110000,http://www.bankingtech.com/category/blockchainbitcoin/,blockchainbitcoin,17,en,1
88,452704036,20150727,201507,2015,2015.5671,INDHLH,MEGHALAYA,IND,HLH,1,43,43,4,1,2.8,5,1,5,-0.84269662921349,4,"Guwahati, Assam, India",IN,IN03,17583,26.1833,91.7333,-2096059,4,"Guwahati, Assam, India",IN,IN03,17583,26.1833,91.7333,-2096059,20150727171500,http://www.sify.com/news/former-president-apj-kalam-is-no-more-news-national-ph1vbtcgbbbhb.html,former president apj kalam is no more news national ph1vbtcgbbbhb ,66,en,1
89,540269858,20160514,201605,2016,2016.3671,BUS,BUSINESS,,BUS,1,10,10,1,1,0.0,6,1,6,-2.59179265658747,4,"Akitsu, Hiroshima, Japan",JA,JA11,34149,34.3167,132.822,163829,4,"Akitsu, Hiroshima, Japan",JA,JA11,34149,34.3167,132.822,163829,20160514101500,http://bitcoinist.net/japanese-company-raising-funds-abuses-tech-bureau-corp-credentials/,japanese company raising funds abuses tech bureau corp credentials,66,en,1
91,490662524,20151203,201512,2015,2015.9123,LEG,LAWMAKER,,LEG,0,30,30,3,1,4.0,10,1,10,4.31034482758621,4,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355,20151203024500,http://nigerianpilot.com/stanbic-ibtc-commissions-satellite-town-branch/,stanbic ibtc commissions satellite town branch,46,en,1
93,445792789,20150703,201507,2015,2015.5014,GRC,GREEK,GRC,,1,874,87,8,2,10.0,2,1,2,-2.50481695568401,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,3,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,20150703090000,http://www.ifreepress.com/businessfinance/9665-bitcoin-fans-eye-potential-in-greek-crisis-hitc,9665 bitcoin fans eye potential in greek crisis hitc,52,en,1
94,458210770,20150816,201508,2015,2015.6192,USA,UNITED STATES,USA,,1,20,20,2,1,3.0,4,1,4,3.38218714768884,3,"Wenatchee, Washington, United States",US,USWA,WA007,47.4235,-120.31,1527897,3,"Wenatchee, Washington, United States",US,USWA,WA007,47.4235,-120.31,1527897,20150816100000,http://www.bitcoinisle.com/2015/08/10/bitcoin-solutions-provider-hashingspace-secures-business-incentives-advisory-services-from-duff-phelps/,bitcoin solutions provider hashingspace secures business incentives advisory services from duff phelps,102,en,1
95,444084691,20150626,201506,2015,2015.4822,ATG,ANTIGUA AND BARBUDA,ATG,,1,15,15,1,1,0.0,2,1,2,-9.12547528517112,1,Antigua And Barbuda,AC,AC,,17.05,-61.8,AC,0,Antigua And Barbuda,AC,AC,,17.05,-61.8,AC,20150626150000,http://www.igamingbusiness.com/news/bitcoin-website-operator-micon-plead-guilty-gaming-charge,bitcoin website operator micon plead guilty gaming charge,57,en,1
96,439725956,20150609,201506,2015,2015.4356,EUR,EUROPEAN,EUR,,0,130,130,13,3,-4.4,5,1,5,0.374531835206,1,Denmark,DA,DA,,56.0,10.0,DA,0,Denmark,DA,DA,,56.0,10.0,DA,20150609210000,http://www.newsbtc.com/2015/06/09/exclusive-an-interview-with-ronny-boesing-ceo-of-ccedk/,exclusive an interview with ronny boesing ceo of ccedk,54,en,1
97,499038749,20160103,201601,2016,2016.0082,USA,JERSEY,USA,,1,71,71,7,2,7.4,4,1,4,-1.41700404858299,1,Jersey,JE,JE,,49.1961,-2.12585,JE,0,Jersey,JE,JE,,49.1961,-2.12585,JE,20160103191500,http://coinspeaker.com/2014/12/23/bitcoin-future-can-the-worlds-most-popular-virtual-currency-survive-2015/,bitcoin future can the worlds most popular virtual currency survive 2015,72,en,1
98,508971470,20160205,201602,2016,2016.0959,IGOEUREEC,THE EU,EUR,IGO,0,30,30,3,1,4.0,5,1,5,-2.72980501392758,2,"New Hampshire, United States",US,USNH,,43.4108,-71.5653,NH,0,"New Hampshire, United States",US,USNH,,43.4108,-71.5653,NH,20160205153000,http://www.pymnts.com/news/bitcoin-tracker/2016/eus-bitcoin-crackdown-jpmorgans-blockchain-bet-and-silk-roads-bust-2-0/,eus bitcoin crackdown jpmorgans blockchain bet and silk roads bust 2 0,70,en,1
